,EW (a priori) | IS 1999-2012 | GROSS,EW (a priori) | IS 1999-2012 | NET,EW (a priori) | OOS 2013-2026 | GROSS,EW (a priori) | OOS 2013-2026 | NET,EW (a priori) | FULL 1999-2026 | GROSS,EW (a priori) | FULL 1999-2026 | NET,IC-weighted (IS-fitted) | IS 1999-2012 | GROSS,IC-weighted (IS-fitted) | IS 1999-2012 | NET,IC-weighted (IS-fitted) | OOS 2013-2026 | GROSS,IC-weighted (IS-fitted) | OOS 2013-2026 | NET,IC-weighted (IS-fitted) | FULL 1999-2026 | GROSS,IC-weighted (IS-fitted) | FULL 1999-2026 | NET,SPY | IS 1999-2012,SPY | OOS 2013-2026,SPY | FULL 1999-2026
VaR 95% (daily),-0.016704813262077966,-0.01672997290561882,-0.015050737650206774,-0.015050737650206774,-0.015719738784971862,-0.01573028976214565,-0.025210425760134852,-0.025215301342302304,-0.01997461646236545,-0.01997461646236545,-0.022823951552882134,-0.02288007201609516,-0.02121586042995305,-0.015917972884331315,-0.018706954898286377
CVaR 95% (daily),-0.026298312247751674,-0.026346856640127432,-0.023228886828901178,-0.02326510710538605,-0.024869523636410755,-0.024915199367591984,-0.04168663873913033,-0.041791175518396964,-0.0319496018377043,-0.03201553373078746,-0.03725371231966861,-0.03734518026880584,-0.03116155624614363,-0.025517091013311847,-0.02882803247486033
Best day,0.11473914540537752,0.11473914540537752,0.09207835721696928,0.09207835721696928,0.11473914540537752,0.11473914540537752,0.17939700270182118,0.17939700270182118,0.138198642472405,0.138198642472405,0.17939700270182118,0.17939700270182118,0.14519781651506225,0.10501943377603062,0.14519781651506225
Worst day,-0.09580226904823241,-0.09580226904823241,-0.11744527862375694,-0.11744527862375694,-0.11744527862375694,-0.11744527862375694,-0.1275263379180445,-0.1275263379180445,-0.12907550501090426,-0.12907550501090426,-0.12907550501090426,-0.12907550501090426,-0.09844765211051432,-0.10942384227103419,-0.10942384227103419
Drawdown length (days),661.0,661.0,38.0,38.0,661.0,661.0,644.0,644.0,47.0,47.0,644.0,644.0,517.0,33.0,517.0
Recovery length (days),,,386.0,388.0,1439.0,1480.0,,,77.0,77.0,1609.0,1727.0,1256.0,140.0,1256.0
t-stat (Newey-West),1.9849378075577664,1.76327290404624,2.9850981262362035,2.6942422872224077,3.574798369569545,3.2116252239646914,1.6458515156521987,1.4460180305614725,2.4652135551368826,2.1749490220243706,2.8934648287946167,2.5526210977161203,1.0418386035881577,3.7750493965696683,3.203664277793008
PSR (vs SR=0),0.9614542654515311,0.9419177855366497,0.9955847625450006,0.9910412733690385,0.9991576272351461,0.9976311938383134,0.9370425205499316,0.9105607521005132,0.9897740235299088,0.9795965915139929,0.9962977250316837,0.9909183650368372,0.8133636094258034,0.9995142960246974,0.9970419490357149
Years,13.972222222222221,13.972222222222221,13.46031746031746,13.46031746031746,27.432539682539684,27.432539682539684,13.972222222222221,13.972222222222221,13.46031746031746,13.46031746031746,27.432539682539684,27.432539682539684,13.972222222222221,13.46031746031746,27.432539682539684
"Turnover (ann., 1-way)",11.673066567851315,11.673066567851315,14.17304446540778,14.17304446540778,12.946224528570882,12.946224528570882,17.556885371533937,17.556885371533937,20.51941431203418,20.51941431203418,19.102373075359328,19.102373075359328,,,
Excess CAGR vs bmk,0.04192906618464609,0.03199028821028915,-0.04090720013614435,-0.053415290157017514,0.005274294872706475,-0.0059692051365674015,0.05008884563242666,0.03505202151833964,-0.028058956588397965,-0.04632721142195306,0.01597131390043449,-0.0007429135074024096,,,
Information ratio,0.2859803431755215,0.2043365186537797,-0.35263127651764736,-0.45857040488865136,0.005013945834914487,-0.08853308769053397,0.452177400677287,0.35391484775152293,-0.12739123044034462,-0.26749209621820763,0.21573779071035645,0.09903590794694403,,,
Tracking error,0.11466972383937218,0.11478532508859031,0.10650065681139242,0.10662244578467217,0.11060073818495883,0.11072056524855449,0.1436035283070501,0.14378815182252544,0.11690152261059873,0.11704181431141009,0.1310902478592115,0.1312576646795207,,,
Up capture,0.7246931048634823,0.7196964477740427,0.7200451497346746,0.7127698109335281,0.7251869322769416,0.719154104471195,1.1409334798795523,1.1334656236278338,1.0646542137750392,1.054171872243334,1.1103011100808846,1.1014394020951384,,,
Down capture,0.6830332934632817,0.6861000136875215,0.7147813794618502,0.7202010067723232,0.6964277484481954,0.7004540763221979,1.0878121279507724,1.09247413525348,1.0971670170893815,1.1050738615207019,1.092234602910969,1.0982195170695799,,,
